VENDOR,CLUSTER_AREA,SITE_NAME,SITE_DESCRIPTION,CELLNAME,LATITUDE,LONGITUDE,AZIMUTH,TECH,CARRIER,ACTSTATUS,FWA_SITE,GOLDEN_SITE
VEND-4,CLUST-32,SITE_446,Blockhouse Bay,SITE_446_CELL-A,-36.921398,174.712516,110,FDD,L2100,ACTIVE,NO,NO
VEND-3,CLUST-29,SITE_447,Grey Street,SITE_447_CELL-A,-37.792834,175.29385,90,FDD,L2100,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_446,Blockhouse Bay,SITE_446_CELL-B,-36.921398,174.712516,230,FDD,L2100,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_446,Blockhouse Bay,SITE_446_CELL-C,-36.921398,174.712516,355,FDD,L2100,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_445,Blockhouse Bay,SITE_445_CELL-A,-36.921398,174.712516,110,FDD,L700,ACTIVE,NO,NO
VEND-3,CLUST-29,SITE_447,Grey Street,SITE_447_CELL-B,-37.792834,175.29385,210,FDD,L2100,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_445,Blockhouse Bay,SITE_445_CELL-B,-36.921398,174.712516,230,FDD,L700,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_445,Blockhouse Bay,SITE_445_CELL-C,-36.921398,174.712516,355,FDD,L700,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_445,Blockhouse Bay,SITE_445_CELL-A,-36.921398,174.712516,110,FDD,L2600,ACTIVE,NO,NO
VEND-3,CLUST-29,SITE_447,Grey Street,SITE_447_CELL-C,-37.792834,175.29385,350,FDD,L2100,ACTIVE,NO,NO
VEND-2,CLUST-15,SITE_434,Green Island,SITE_434_CELL-A,-45.910091,170.447413,20,FDD,L2600,ACTIVE,NO,NO
VEND-2,CLUST-15,SITE_434,Green Island,SITE_434_CELL-B,-45.910091,170.447413,290,FDD,L2600,ACTIVE,NO,NO
VEND-2,CLUST-15,SITE_434,Green Island,SITE_434_CELL-A,-45.910091,170.447413,20,FDD,L1800,ACTIVE,NO,NO
VEND-3,CLUST-23,SITE_448,Greymouth,SITE_448_CELL-A,-42.44836,171.209908,100,FDD,L2100,ACTIVE,NO,NO
VEND-2,CLUST-15,SITE_434,Green Island,SITE_434_CELL-B,-45.910091,170.447413,290,FDD,L1800,ACTIVE,NO,NO
VEND-2,CLUST-15,SITE_434,Green Island,SITE_434_CELL-A,-45.910091,170.447413,20,FDD,L700,ACTIVE,NO,NO
VEND-2,CLUST-15,SITE_434,Green Island,SITE_434_CELL-B,-45.910091,170.447413,290,FDD,L700,ACTIVE,NO,NO
VEND-3,CLUST-23,SITE_448,Greymouth,SITE_448_CELL-B,-42.44836,171.209908,100,FDD,L2100,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_445,Blockhouse Bay,SITE_445_CELL-B,-36.921398,174.712516,230,FDD,L2600,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_445,Blockhouse Bay,SITE_445_CELL-C,-36.921398,174.712516,355,FDD,L2600,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_445,Blockhouse Bay,SITE_445_CELL-A,-36.921398,174.712516,110,FDD,L1800,ACTIVE,NO,NO
VEND-3,CLUST-23,SITE_448,Greymouth,SITE_448_CELL-C,-42.44836,171.209908,100,FDD,L2100,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_445,Blockhouse Bay,SITE_445_CELL-B,-36.921398,174.712516,230,FDD,L1800,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_445,Blockhouse Bay,SITE_445_CELL-C,-36.921398,174.712516,355,FDD,L1800,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_449,Queenstown Rd,SITE_449_CELL-A,-36.921267,174.767247,110,FDD,L2100,ACTIVE,NO,NO
VEND-4,CLUST-32,SITE_449,Queenstown Rd,SITE_449_CELL-B,-36.921267,174.767247,210,FDD,L2100,ACTIVE,NO,NO
