VENDOR,CLUSTER_AREA,SITE_NAME,SITE_DESCRIPTION,CELLNAME,LATITUDE,LONGITUDE,AZIMUTH,TECH,CARRIER,ACTSTATUS,FWA_SITE,GOLDEN_SITE
NOKIA,Marlborough 1,SITE_40,Appleby,SAPBJ2_L,-41.309157,173.146517,240,FDD,L1800,ACTIVE,NO,NO
NOKIA,Marlborough 1,SITE_40,Appleby,SAPBJ1_J,-41.309157,173.146517,150,FDD,L700,ACTIVE,NO,NO
NOKIA,Marlborough 1,SITE_40,Appleby,SAPBJ2_J,-41.309157,173.146517,240,FDD,L700,ACTIVE,NO,NO
NOKIA,Marlborough 1,SITE_40,Appleby,SAPBJ3_J,-41.309157,173.146517,340,FDD,L700,ACTIVE,NO,NO
NOKIA,Marlborough 1,SITE_40,Appleby,SAPBJ3_L,-41.309157,173.146517,340,FDD,L1800,ACTIVE,NO,NO
SAMSUNG,WN Outer 1,SITE_39,Appleton Park,WAPPF1_L,-41.286777,174.754421,105,FDD,L1800,ACTIVE,NO,NO
NOKIA,Manawatu 2,SITE_41,Aramoho,CAMOJ1_Q,-39.907988,175.053446,65,TDD,L2300 - Q,ACTIVE,NO,NO
NOKIA,Manawatu 2,SITE_41,Aramoho,CAMOJ1_R,-39.907988,175.053446,65,TDD,L2300 - R,ACTIVE,NO,NO
SAMSUNG,WN Outer 1,SITE_39,Appleton Park,WAPPF2_L,-41.286777,174.754421,230,FDD,L1800,ACTIVE,NO,NO
SAMSUNG,WN Outer 1,SITE_39,Appleton Park,WAPPF1_J,-41.286777,174.754421,105,FDD,L700,ACTIVE,NO,NO
SAMSUNG,WN Outer 1,SITE_39,Appleton Park,WAPPF2_J,-41.286777,174.754421,230,FDD,L700,ACTIVE,NO,NO
NOKIA,Manawatu 2,SITE_41,Aramoho,CAMOJ2_Q,-39.907988,175.053446,185,TDD,L2300 - Q,ACTIVE,NO,NO
NOKIA,Manawatu 2,SITE_41,Aramoho,CAMOJ2_R,-39.907988,175.053446,185,TDD,L2300 - R,ACTIVE,NO,NO
